"Lite-On  MU3 3D(120GB),Lite-On,내장형,2.5형(6.4cm),TLC(기타),3D낸드,,파이슨 S11,최대 400MB/s,최대 500MB/s,,,,,,,"
"Plextor  M7V M.2 2280(256GB),Plextor,내장형,M.2 (2280),TLC(토글),,,마벨 88SS1074B1,최대 530MB/s,최대 560MB/s,,,,,,,"
"타무즈  RX540(128GB),타무즈,내장형,2.5형(6.4cm),TLC(토글),3D낸드,,JMicron,350MB/s,560MB/s,,O,,,,,"
"타무즈  M720 M.2 2280(128GB),타무즈,내장형,M.2 (2280),MLC(토글),2D낸드,15 nm,파이슨 PS5007-E7,최대 1,200MB/s,최대 2,300MB/s,,,,,,,"
"라온티앤아이  RX630(256GB),라온티앤아이,내장형,2.5형(6.4cm),MLC(토글),,,실리콘모션 2246,280MB/s,530MB/s,,,,,,,"
"WD  Green M.2 2280(240GB),WD,내장형,M.2 (2280),확인 요망,,,,최대 465MB/s,최대 540MB/s,,,,,,,"
"TeamGroup  L5 Lite(120GB),TeamGroup,내장형,2.5형(6.4cm),TLC(기타),3D낸드,,,최대 300MB/s,최대 500MB/s,,,,,,,"
"Plextor  M8PeY PCIe(1TB),Plextor,내장형,PCIe 카드,MLC(토글),,15 nm,마벨 88SS1093,최대 1,400MB/s,최대 2,500MB/s,,,,,,,"
"Plextor  M8PeG M.2 2280(512GB),Plextor,내장형,M.2 (2280),MLC(토글),,15 nm,마벨 88SS1093,최대 1,300MB/s,최대 2,300MB/s,,,,,,,"
"마이크론 Crucial MX300 M.2 2280 대원CTS(1TB),마이크론,내장형,M.2 (2280),TLC(기타),3D낸드,,마벨 88SS1074,최대 510MB/s,최대 530MB/s,,,,,,,"
"ZOTAC  SATA3 2.5 SSD to USB 3.0 어댑터,ZOTAC,SSD 주변기기,,,,,,,,,,,,,,"
"타무즈  M720 M.2 2280(256GB),타무즈,내장형,M.2 (2280),MLC(토글),2D낸드,15 nm,파이슨 PS5007-E7,최대 1,450MB/s,최대 2,750MB/s,,,,,,,"
"ADATA  XPG SX8000 M.2 2280(512GB),ADATA,내장형,M.2 (2280),MLC(기타),3D낸드,,실리콘모션 SMI2260,최대 1,100MB/s,최대 2,500MB/s,,,,,,,"
"Plextor  S3C(128GB),Plextor,내장형,2.5형(6.4cm),TLC(기타),2D낸드,14 nm,실리콘모션 SM2254,최대 500MB/s,최대 550MB/s,,,,,,,"
"Plextor  M7V(256GB),Plextor,내장형,2.5형(6.4cm),TLC(토글),,,마벨 88SS1074B1,최대 530MB/s,최대 560MB/s,,,,,,,"
"라온티앤아이  MX370 mSATA(128GB),라온티앤아이,내장형,Mini SATA(mSATA),MLC(토글),,,실리콘모션 SM2246EN,170MB/s,550MB/s,,,,,,,"
"Plextor  M8PeGN M.2 2280(512GB),Plextor,내장형,M.2 (2280),MLC(토글),,15 nm,마벨 88SS1093,최대 1,300MB/s,최대 2,300MB/s,,,,,,,"
"타무즈  M530 M.2 2280(120GB),타무즈,내장형,M.2 (2280),TLC(기타),2D낸드,,마벨 88NV1120,최대 405MB/s,최대 535MB/s,,,,,,,"
"WD  Blue M.2 2280(1TB),WD,내장형,M.2 (2280),확인 요망,,,,최대 525MB/s,최대 545MB/s,,,,,,,"
