"G.SKILL  DDR4 8G PC4-17000 CL15 RIPJAWS V VR,G.SKILL,DDR4,PC용,1ea,포함,8GB,2,133MHz,1.20V"
"G.SKILL  DDR4 32G PC4-25600 CL14 TRIDENT Z RGB (16Gx2),G.SKILL,DDR4,PC용,2ea,포함,32GB,3,200MHz,1.35V"
"CORSAIR  DDR4 32GB PC4-24000 CL15 VENGEANCE RGB (8Gx4),CORSAIR,DDR4,PC용,4ea,포함,32GB,3,000MHz,1.35V"
"G.SKILL  DDR4 16G PC4-34100 CL19 TRIDENT Z RGB (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,4,266MHz,1.40V"
"GeIL  DDR4 16G PC4-17000 CL15 SUPER LUCE WHITE 화이트,GeIL,DDR4,PC용,1ea,포함,16GB,2,133MHz,1.20V"
"GeIL  DDR4 8G PC4-17000 CL15 EVO-X RGB,GeIL,DDR4,PC용,1ea,포함,8GB,2,133MHz,1.20V"
"G.SKILL  DDR4 32G PC4-25600 CL15 TRIDENT Z RGB (16Gx2),G.SKILL,DDR4,PC용,2ea,포함,32GB,3,200MHz,1.35V"
"G.SKILL  DDR4 16G PC4-33000 CL19 TRIDENT Z RGB (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,4,133MHz,1.35V"
"ESSENCORE KLEVV DDR3 8G PC3-12800 CL9 FIT,ESSENCORE,DDR3,PC용,1ea,포함,8GB,1,600MHz,1.50V"
"삼성전자  DDR4 16G PC4-17000(정품),삼성전자,DDR4,PC용,1ea,미포함,16GB,2,133MHz,"
"TeamGroup T-Force DDR4 16G PC4-21300 CL15 Night Hawk Red (8Gx2),TeamGroup,DDR4,PC용,2ea,포함,16GB,2,666MHz,1.20V"
"TeamGroup T-Force DDR4 16G PC4-21300 CL15 VULCAN Red (8Gx2),TeamGroup,DDR4,PC용,2ea,포함,16GB,2,666MHz,1.20V"
"GeIL  DDR4 8G PC4-19200 CL15 SUPER LUCE BLACK 화이트 (4Gx2),GeIL,DDR4,PC용,2ea,포함,8GB,2,400MHz,1.20V"
"GeIL  DDR4 16G PC4-19200 CL16 PRISTINE,GeIL,DDR4,PC용,1ea,미포함,16GB,2,400MHz,1.20V"
"GeIL  DDR4 16G PC4-17000 CL15 EVO-X 화이트 RGB (16Gx1),GeIL,DDR4,PC용,1ea,포함,16GB,2,133MHz,1.20V"
"ESSENCORE KLEVV DDR3 16G PC3-12800 CL9 FIT (8Gx2),ESSENCORE,DDR3,PC용,2ea,포함,16GB,1,600MHz,1.50V"
"G.SKILL  DDR4 8G PC4-19200 CL15 RIPJAWS V VS,G.SKILL,DDR4,PC용,1ea,포함,8GB,2,400MHz,1.20V"
"TeamGroup  DDR4 16G PC4-19200 Elite,TeamGroup,DDR4,PC용,1ea,미포함,16GB,2,400MHz,1.20V"
"GeIL  DDR4 16G PC4-24000 CL16 SUPER LUCE WHITE 화이트 (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,3,000MHz,1.35V"
"ESSENCORE KLEVV DDR3 8G PC3-21300 CL12 URBANE (4Gx2),ESSENCORE,DDR3,PC용,2ea,포함,8GB,2,666MHz,1.65V"
"TeamGroup  DDR3 8G PC3-12800,TeamGroup,DDR3,PC용,1ea,미포함,8GB,1,600MHz,1.50V"
"AVEXIR  DDR4 16G PC4-24000 CL16 RAIDEN TESLA 그린 (8Gx2),AVEXIR,DDR4,PC용,2ea,포함,16GB,3,000MHz,1.20V"
"TeamGroup  DDR4 8G PC4-19200 Elite,TeamGroup,DDR4,PC용,1ea,미포함,8GB,2,400MHz,1.20V"
"G.SKILL  DDR4 32G PC4-19200 CL15 TRIDENT Z RGB (16Gx2),G.SKILL,DDR4,PC용,2ea,포함,32GB,2,400MHz,1.20V"
