"스카이디지탈  파워스테이션3 PS3-850Q Bronze 80PLUS,스카이디지탈,ATX 파워,정격 850W,표기 850W,20핀+4핀,140mm 팬,O,,,O,,O"
"GIGABYTE  PB500 80PLUS BRONZE 유체베어링,GIGABYTE,ATX 파워,정격 500W,,20핀+4핀,120mm 팬,O,,,O,,O"
"잘만  ZM1200-EBT 80PLUS GOLD,잘만,ATX 파워,정격 1200W,표기 1200W,20핀+4핀,135mm 팬,O,O,,O,,O"
"마이크로닉스  Cyclone II 600W +12V Single Rail 83+,마이크로닉스,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,O,,"
"FSP  Hydro 500W 80PLUS BRONZE 230V EU,FSP,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,O"
"POWEREX  LEGEND Modular 800W 80Plus 브론즈,POWEREX,ATX 파워,정격 800W,표기 800W,20핀+4핀,120mm 팬,O,,,O,,O"
"Antec  VP500P V2 A-PFC 88퍼센트,Antec,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,"
"FSP  Hydro G 850W,FSP,ATX 파워,정격 850W,표기 850W,20핀+4핀,135mm 팬,O,,,O,,O"
"CORSAIR  RM850i 80PLUS GOLD,CORSAIR,ATX 파워,정격 850W,표기 850W,20핀+4핀,135mm 팬,O,,,O,,O"
"스카이디지탈  파워스테이션2 PS2-500CR 82퍼센트 ActivePFC v2.31,스카이디지탈,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,"
"마이크로닉스  CASLON 500W After Cooling 87+ FDB,마이크로닉스,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,O,O,,"
"Antec  HCG-850M LED 모듈러 80PLUS 브론즈,Antec,ATX 파워,정격 850W,표기 850W,20핀+4핀,135mm LED 팬,O,O,,O,,O"
"마이크로닉스  Strike X LED Series 750W 85plus Modular,마이크로닉스,ATX 파워,정격 750W,표기 750W,24핀 전용,135mm 팬,O,,,,,"
"POWEREX  REX III 600W Edge +12V Single Rail,POWEREX,ATX 파워,정격 600W,,20핀+4핀,120mm 팬,O,,,O,,"
"topower  TOP-500D 80PLUS Bronze,topower,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,O"
"AONE  STORM 500LF 더블포워드 V2.3,AONE,ATX 파워,정격 500W,,20핀+4핀,120mm 팬,O,,,,,"
"마이크로닉스  ZERO POWER 400W,마이크로닉스,ATX 파워,정격 400W,표기 400W,20핀+4핀,120mm 팬,,O,,O,,"
"POWEREX  REX-S350,POWEREX,TFX 파워,정격 300W,표기 300W,20핀+4핀,80mm 팬,O,,,O,,"
"POWEREX  REX-u350+,POWEREX,M-ATX 파워,정격 300W,표기 300W,20핀+4핀,80mm 팬,,,O,O,,"
"잘만  ZM750-EBT 80PLUS GOLD,잘만,ATX 파워,정격 750W,표기 750W,20핀+4핀,135mm 팬,O,,,O,,O"
"CORSAIR  CX600 80PLUS BRONZE,CORSAIR,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,O,,O"
"스파클텍  GPK600S 80PLUS BRONZE 프리볼트,스파클텍,ATX 파워,정격 600W,,20핀+4핀,120mm 팬,O,,,O,,O"
"COOLMAX  FOCUS 600W 80Plus 230V EU,COOLMAX,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,,,O"
"FSP  AURUM PT1200W,FSP,ATX 파워,정격 1200W,표기 1200W,20핀+4핀,135mm 팬,O,,,O,,O"
"마이크로닉스  Cyclone II 400W +12V Single Rail 83+,마이크로닉스,ATX 파워,정격 400W,표기 400W,20핀+4핀,120mm 팬,O,,,O,,"
"CORSAIR PROFESSIONAL SERIES AX1500i 80PLUS TITANIUM,CORSAIR,ATX 파워,정격 1500W,표기 1500W,20핀+4핀,140mm 팬,O,,,O,,O"
"마이크로닉스  Performance II PV 600W 80Plus Bronze Surge 4K,마이크로닉스,ATX 파워,정격 600W,,20핀+4핀,120mm 팬,O,,O,O,,O"
"FSP  Hydro G 750W,FSP,ATX 파워,정격 750W,표기 750W,20핀+4핀,135mm 팬,O,,,O,,O"
"마이크로닉스  Cyclone II 500W +12V Single Rail 83+,마이크로닉스,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,"
"FSP  FSP500-50HPN 85+,FSP,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,"
"CORSAIR  RM650x 80PLUS GOLD,CORSAIR,ATX 파워,정격 650W,표기 650W,20핀+4핀,135mm 팬,O,,,O,,O"
"잘만  ZM1000-ARX 80PLUS PLATINUM,잘만,ATX 파워,정격 1000W,,20핀+4핀,135mm 팬,O,O,,O,,O"
"잘만  ZM850-EBT 80PLUS GOLD,잘만,ATX 파워,정격 850W,표기 850W,20핀+4핀,135mm 팬,O,O,,O,,O"
"SuperFlower  SF-1000F14MP LEADEX PLATINUM,SuperFlower,ATX 파워,정격 1000W,표기 1000W,20핀+4핀,140mm,O,O,,O,,O"
"마이크로닉스  ZERO POWER 600W,마이크로닉스,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,,O,,O,,"
"잘만  ZM650-XG,잘만,ATX 파워,정격 650W,표기 650W,20핀+4핀,140mm 팬,O,,,O,,O"
"잘만  ZM600-GVM 600W 80 PLUS BRONZE,잘만,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,O,,O"
"POWEREX  LEGEND 500W GOLD,POWEREX,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,O"
