"AMD A6 7400K (카베리)(정품),AMD,AMD(카베리-A6),AMD(소켓FM2+),64(32) 비트,듀얼 코어,쓰레드 2개,3.5 GHz,28nm,65 W,,AMD R5 시리즈"
"인텔 코어i5-4세대 4460 (하스웰 리프레시)(정품),인텔,인텔(코어i5-4세대),인텔(소켓1150),64(32) 비트,쿼드 코어,쓰레드 4개,3.2 GHz,22nm,84 W,윈도우 7 가상화,인텔 HD 4600"
"인텔 코어i3-7세대 7320 (카비레이크)(정품),인텔,인텔(코어i3-7세대),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,4.1 GHz,14nm,51 W,,인텔 HD 630"
"인텔 제온 E5-2630 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,10 코어,쓰레드 20개,2.2 GHz,14nm,85 W,,"
"인텔 제온 E3-1220V5 (스카이레이크)(정품),인텔,인텔(제온),인텔(소켓1151),64(32) 비트,쿼드 코어,쓰레드 4개,3.0 GHz,14nm,80 W,,"
"AMD A4 6300 (리치랜드)(정품),AMD,AMD(리치랜드-A4),AMD(소켓FM2),64(32) 비트,듀얼 코어,쓰레드 2개,3.7 GHz,32nm,65 W,윈도우 7 가상화,"
"인텔 제온 E5-2687W v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,12 코어,쓰레드 24개,3.0 GHz,14nm,160 W,,"
"인텔 제온 E5-2683 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,16 코어,쓰레드 32개,2.1 GHz,14nm,120 W,,"
"인텔 코어i5-4세대 4590 (하스웰 리프레시)(정품),인텔,인텔(코어i5-4세대),인텔(소켓1150),64(32) 비트,쿼드 코어,쓰레드 4개,3.3 GHz,22nm,84 W,윈도우 7 가상화,인텔 HD 4600"
"인텔 코어i3-6세대 6300 (스카이레이크)(정품),인텔,인텔(코어i3-6세대),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,3.8 GHz,14nm,51 W,윈도우 7 가상화,인텔 HD 530"
"인텔 제온 E3-1270V5 (스카이레이크)(정품),인텔,인텔(제온),인텔(소켓1151),64(32) 비트,쿼드 코어,쓰레드 8개,3.6 GHz,14nm,80 W,,"
"인텔 제온 E3-1275V5 (스카이레이크)(정품),인텔,인텔(제온),인텔(소켓1151),64(32) 비트,쿼드 코어,쓰레드 8개,3.6 GHz,14nm,80 W,,인텔 HD P530"
"인텔 제온 E3-1245V5 (스카이레이크)(정품),인텔,인텔(제온),인텔(소켓1151),64(32) 비트,쿼드 코어,쓰레드 8개,3.5 GHz,14nm,80 W,,인텔 HD P530"
"인텔 제온 E3-1225V5 (스카이레이크)(정품),인텔,인텔(제온),인텔(소켓1151),64(32) 비트,쿼드 코어,쓰레드 4개,3.3 GHz,14nm,80 W,,인텔 HD P530"
"AMD 셈프론 145 (사르가스)(정품),AMD,AMD(셈프론),AMD(소켓AM3),64(32) 비트,싱글 코어,쓰레드 1개,2.8 GHz,45nm,45 W,,"
"AMD 셈프론 APU 2650 (카비니)(정품),AMD,AMD(셈프론 APU),AMD(소켓AM1),64(32) 비트,듀얼 코어,쓰레드 2개,1.45 GHz,28nm,25 W,윈도우 7 가상화,AMD R3 시리즈"
"인텔 제온 E3-1240V5 (스카이레이크)(정품),인텔,인텔(제온),인텔(소켓1151),64(32) 비트,쿼드 코어,쓰레드 8개,3.5 GHz,14nm,80 W,,"
"인텔 제온 E5-2603 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,헥사(6) 코어,쓰레드 6개,1.7 GHz,14nm,85 W,,"
"인텔 제온 E5-2680 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,14 코어,쓰레드 28개,2.4 GHz,14nm,120 W,,"
"인텔 제온 E5-2690 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,12 코어,쓰레드 24개,2.6 GHz,14nm,135 W,,"
"인텔 제온 E5-2640 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,10 코어,쓰레드 20개,2.4 GHz,14nm,85 W,,"
