"GIGABYTE  지포스 GTX1050 UDV D5 2GB 윈드포스,GIGABYTE,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,3개,1개,,O,O,,O,,,,히트파이프+쿨러,229 mm,40 mm,"
"갤럭시 GALAX 지포스 GT710 D3 1GB LP,갤럭시,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,158 mm,18 mm,"
"SAPPHIRE  라데온 RX 460 OC D5 2GB Single Fan,SAPPHIRE,AMD(ATi),라데온 RX 4xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,,,O,,O,,,,,216 mm,38 mm,최대 75W"
"SAPPHIRE  라데온 RX 550 OC D5 2GB PULSE,SAPPHIRE,AMD(ATi),라데온 RX 5xx,,GDDR5(DDR5),2GB,128-bit,1개,1개,,,,,,O,,,,158 mm,28 mm,최대 65W"
"리드텍  쿼드로 GP100 HBM2 16GB ABKO,리드텍,NVIDIA,쿼드로 시리즈,PCIe3.0x16,HBM(2세대),16GB,4096-bit,,4개,,,,,,,,,,,,최대 235W"
"ZOTAC  지포스 GTX1050 OC DUALSILENCER D5 2GB,ZOTAC,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,,,O,,,,히트파이프,174 mm,,최대 75W"
"갤럭시 GALAX 지포스 GT710 D3 2GB LP 무소음,갤럭시,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR3(DDR3),2GB,64-bit,1개,,,O,,,,,,,방열판,171 mm,38 mm,"
"GIGABYTE  지포스 GTX1050 UD2 D5 2GB Nano LP,GIGABYTE,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,2개,1개,,O,O,,O,,,,방열판+쿨러,167 mm,37 mm,"
"갤럭시 GALAX 지포스 GT730 EX OC D5 1GB LP,갤럭시,NVIDIA,지포스 GT7xx,PCIe2.0x16,GDDR5(DDR5),1GB,64-bit,1개,,,,,,,,,,방열판+쿨러,145 mm,14 mm,"
"Colorful  지포스 GTX1050 iGame U OC D5 2GB,Colorful,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,,,,,히트파이프+쿨러,243 mm,40 mm,최대 75W"
"GIGABYTE  지포스 GT710 UD2 D3 2GB 팬리스,GIGABYTE,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR3(DDR3),2GB,64-bit,1개,,,O,,,,,,,방열판,150 mm,36 mm,"
"GIGABYTE  지포스 GT710 UD2 D3 1GB 팬리스,GIGABYTE,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,방열판,150 mm,36 mm,"
"GIGABYTE  지포스 GT730 UD2 D5 1GB 블랙펄,GIGABYTE,NVIDIA,지포스 GT7xx,PCI-Express 2.0 x8,GDDR5(DDR5),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,165 mm,25 mm,"
"GIGABYTE  지포스 GTX1080 Xtreme D5X 8GB 워터블럭,GIGABYTE,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5X(DDR5X),8GB,256-bit,1개,3개,,O,O,O,O,,,,,266 mm,25 mm,"
"리드텍  쿼드로 P2000 D5 5GB ABKO,리드텍,NVIDIA,쿼드로 시리즈,PCIe3.0x16,GDDR5(DDR5),5GB,160-bit,,4개,,,,,,,,,,,,최대 75W"
"GIGABYTE  지포스 GTX1080 Ti Founders Edition D5X 11GB,GIGABYTE,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5X(DDR5X),11GB,352-bit,1개,3개,O,,O,O,O,,,,,266.7 mm,,최대 250W"
"GIGABYTE  지포스 GT710 UD2 D3 1GB 미니미,GIGABYTE,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,,,"
"AXLE  지포스 GTX1050 D5 2GB,AXLE,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,,1개,1개,,O,,,O,,,,방열판+히트파이프,174 mm,38 mm,최대 75W"
"ZOTAC  지포스 GTX1050 D5 2GB LP,ZOTAC,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,,,,,160 mm,,최대 75W"
"GIGABYTE  라데온 R7 240 UD2 D3 2GB WING-100,GIGABYTE,AMD(ATi),라데온 R7 2xx,PCIe3.0x8,GDDR3(DDR3),2GB,128-bit,1개,,,,O,,,,,,방열판+쿨러,188 mm,33 mm,최대 30W"
"HIS  라데온 RX 460 iCooler OC D5 2GB,HIS,AMD(ATi),라데온 RX 4xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,O,O,O,,O,,,,,170 mm,35 mm,최대 75W"
"GIGABYTE  라데온 RX 550 UD2 D5 2GB 미니미,GIGABYTE,AMD(ATi),라데온 RX 5xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,O,,,,170 mm,29 mm,"
"GIGABYTE  지포스 GTX1080 Xtreme D5X 8GB 워터포스,GIGABYTE,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5X(DDR5X),8GB,256-bit,3개,3개,O,O,O,O,O,,,,수냉 쿨링,264 mm,41 mm,"
"GIGABYTE  지포스 GT730 UD2 D3 2GB 미니미,GIGABYTE,NVIDIA,지포스 GT7xx,PCI-Express 2.0 x8,GDDR3(DDR3),2GB,,1개,,,O,,,,,,,방열판,145 mm,36 mm,"
"Colorful  지포스 GTX1050 REVENGE OC D5 2GB,Colorful,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,,,,방열판+쿨러,230 mm,40 mm,최대 75W"
"STCOM ALPHA 지포스 GTX1050 D5 2GB,STCOM,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,,,,,,,,,151 mm,40 mm,최대 75W"
"갤럭시 GALAX 지포스 GT710 D3 2GB LP,갤럭시,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR3(DDR3),2GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,158 mm,22 mm,"
"이엠텍 XENON 지포스 GT610 LowProfile D3 1GB,이엠텍,NVIDIA,지포스 GT6xx,PCIe2.0x16,GDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,,150 mm,18 mm,최대 29W"
"GIGABYTE  지포스 GT1030 UD2 D5 2GB 미니미,GIGABYTE,NVIDIA,지포스 GT10xx,PCIe3.0x4,GDDR5(DDR5),2GB,64-bit,1개,,,O,O,,O,,,,,150 mm,15 mm,"
"GIGABYTE  지포스 GT730 UD2 D5 2GB 블랙펄,GIGABYTE,NVIDIA,지포스 GT7xx,PCI-Express 2.0 x8,GDDR5(DDR5),2GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,166 mm,24 mm,"
"XFX  라데온 RX 460 블랙울프 OC D5 2GB,XFX,AMD(ATi),라데온 RX 4xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,,,,,,,,,히트파이프+쿨러,238 mm,40 mm,"
"이엠텍 HV 지포스 GT730 OC LP Edition D5 1GB,이엠텍,NVIDIA,지포스 GT7xx,PCI-Express 2.0 x8,GDDR5(DDR5),1GB,,1개,,,O,,,,,,,방열판+쿨러,145 mm,14 mm,최대 38W"
"MSI  지포스 GT1030 D5 2GB LP 스톰 귀요미,MSI,NVIDIA,지포스 GT10xx,PCIe3.0x16,GDDR5(DDR5),2GB,64-bit,1개,,,,,,O,,O,,방열판+쿨러,159 mm,19 mm,최대 30W"
"이엠텍 XENON 지포스 GT1030 HDMI 2.0 D5 2GB,이엠텍,NVIDIA,지포스 GT10xx,PCIe3.0x4,GDDR5(DDR5),2GB,64-bit,1개,,,,O,,O,,,,방열판+쿨러,145 mm,20 mm,최대 30W"
"ZOTAC  지포스 GT730 D5 1GB LP,ZOTAC,NVIDIA,지포스 GT7xx,PCI-Express 2.0 x8,GDDR5(DDR5),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,148 mm,,최대 38W"
"AXLE  지포스 G210 SMART HDMI D3 512MB LP,AXLE,NVIDIA,지포스 G2xx,PCIe2.0x16,GDDR3(DDR3),512MB,32-bit,1개,,,O,,,,,,,방열판+쿨러,150 mm,30 mm,최대 30.5W"
"HIS  라데온 RX 460 Slim iCooler OC D5 2GB,HIS,AMD(ATi),라데온 RX 4xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,,,O,,,,,,,168 mm,17 mm,최대 75W"
"이엠텍 XENON 지포스 GT730 D3 2GB LP,이엠텍,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR3(DDR3),2GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,159 mm,17 mm,최대 49W"
"리드텍  쿼드로 P6000 D5X 24GB ABKO,리드텍,NVIDIA,쿼드로 시리즈,PCIe3.0x16,GDDR5X(DDR5X),24GB,384-bit,,4개,,,,,,,,,,267 mm,40 mm,최대 250W"
