"Fractal Design  Define R5 Blackout Window,Fractal Design,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 440 mm,CPU쿨러: 최대 180mm,3열 수랭쿨러 지원"
"GMC  바라쿠다,GMC,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,최대 3개,최대 300 mm,CPU쿨러: 최대 158mm,"
"IN WIN  301 화이트,IN WIN,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 2개,최대 330 mm,CPU쿨러: 최대 158mm,2열 수랭쿨러 지원"
"마이크로닉스  24인치 풀HD 일체형케이스 MB401,마이크로닉스,미니ITX,미들타워,DC to DC,,,,,,,,O,최대 1개,,,"
"마이크로닉스  34형 커브드 UWQHD 수냉 일체형케이스,마이크로닉스,기타,미들타워,FLEX,,,,,,,,O,최대 1개,최대 300 mm,,"
"아이구주  G30 USB 3.0 풀 아크릴 윈도우 블랙,아이구주,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 4개,최대 350 mm,CPU쿨러: 최대 153mm,3열 수랭쿨러 지원"
"COX  A5 코다 USB3.0 풀 아크릴 윈도우 블랙,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 4개,최대 375 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원"
"ABKO  NCORE 알리,ABKO,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 3개,최대 280 mm,CPU쿨러: 최대 145mm,"
"BRAVOTEC  디파이 B40 화이트,BRAVOTEC,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 2개,최대 295 mm,CPU쿨러: 최대 180mm,2열 수랭쿨러 지원"
"ABKO  NCORE 벤투스 USB3.0,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 365 mm,CPU쿨러: 최대 158mm,2열 수랭쿨러 지원"
"마이크로닉스  34형 커브드 UWQHD 일체형케이스,마이크로닉스,기타,미들타워,FLEX,,,,,,,,O,최대 1개,최대 300 mm,,"
"ABKO  NCORE 오로라 RGB 튜닝 LED 강화유리,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 4개,380 mm,CPU쿨러: 162mm,2열 수랭쿨러 지원"
"ABKO  NCORE 사파이어 3.0 풀아크릴 & 강화유리 화이트,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 3개,최대 370 mm,CPU쿨러: 최대 159mm,2열 수랭쿨러 지원"
"3RSYS  R3 USB3.0,3RSYS,PC케이스(M-ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 300 mm,CPU쿨러: 최대 147mm,"
"SAMA  STALLION K901B Zero NOISE BLACK,SAMA,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,6개,최대 470 mm,CPU쿨러: 180mm,3열 수랭쿨러 지원"
"COUGAR  PANZER MAX BRAVOTEC,COUGAR,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 6개,최대 380 mm,CPU쿨러: 최대 170mm,3열 수랭쿨러 지원"
"COX  A4 이퀄라이저 RGB 컨트롤 풀 아크릴 윈도우 블랙,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 365 mm,CPU쿨러: 최대 155mm,"
"마이크로닉스  CORBY mini USB 3.0,마이크로닉스,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 3개,최대 280 mm,CPU쿨러: 최대 150mm,"
"SAMA  STALLION K902B RGB 컨트롤 강화유리 블랙,SAMA,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 7개,최대 455 mm,CPU쿨러: 180mm,3열 수랭쿨러 지원"
"CORSAIR CARBIDE SERIES CLEAR 600C 화이트,CORSAIR,PC케이스(RTX),빅타워,표준-ATX,O,O,O,,,,,O,최대 3개,최대 370 mm,CPU쿨러: 최대 200mm,3열 수랭쿨러 지원"
"BRAVOTEC  스텔스 FX470 파노라마 윈도우 블랙,BRAVOTEC,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 8개,최대 325 mm,CPU쿨러: 최대 165mm,3열 수랭쿨러 지원"
"3RSYS  R350,3RSYS,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 3개,최대 307 mm,CPU쿨러: 최대 135mm,"
"COX  RC 150T,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 3개,최대 340 mm,CPU쿨러: 최대 150mm,"
"NZXT  S340 ELITE 화이트 BRAVOTEC,NZXT,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 4개,최대 364 mm,CPU쿨러: 최대 161mm,2열 수랭쿨러 지원"
"IN WIN  301 블랙,IN WIN,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 2개,최대 330 mm,CPU쿨러: 최대 158mm,2열 수랭쿨러 지원"
"2MONS  엠미니 700,2MONS,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 2개,최대 320 mm,,"
"Antec  P100,Antec,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 7개,최대 317.5 mm,CPU쿨러: 170mm,2열 수랭쿨러 지원"
"3RSYS  L900 USB3.0,3RSYS,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 5개,최대 380 mm,CPU쿨러: 최대 172mm,2열 수랭쿨러 지원"
"ABKO  NCORE G290 베이더 USB3.0 블랙,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 380 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원"
